iter	Logloss
0	0.683388595
1	0.6729142547
2	0.6636916826
3	0.6558594005
4	0.647209477
5	0.6377249445
6	0.6288003741
7	0.6208679177
8	0.6113398831
9	0.6028363005
10	0.5944027612
11	0.5856730709
12	0.5780583331
13	0.5696014689
14	0.562984769
15	0.556947517
16	0.5515410802
17	0.5453110958
18	0.5402408045
19	0.5329952403
20	0.5263162376
21	0.5211952746
22	0.5143321119
23	0.5088202385
24	0.503586022
25	0.4981259936
26	0.4915993367
27	0.4853798857
28	0.479085696
29	0.4733803814
30	0.468110818
31	0.4635574255
32	0.4578498769
33	0.4518705215
34	0.4473908101
35	0.4424647076
36	0.4366543211
37	0.4310608854
38	0.4259476209
39	0.4202549827
40	0.4155951573
41	0.410671104
42	0.4062530114
43	0.4015168359
44	0.3975001644
45	0.3928599495
46	0.3883159752
47	0.3836529123
48	0.379459972
49	0.3756423652
50	0.3720699891
51	0.3678480327
52	0.3646098552
53	0.3618467653
54	0.3581903595
55	0.3551255213
56	0.3516889704
57	0.3484018662
58	0.3454954293
59	0.3426354526
60	0.3390979458
61	0.3358670799
62	0.3329845242
63	0.3296284693
64	0.3276415372
65	0.3242230681
66	0.32169442
67	0.3189992137
68	0.3160849102
69	0.3137243618
70	0.311107902
71	0.3090284834
72	0.306185664
73	0.3040490392
74	0.3015201708
75	0.2988357031
76	0.2961716563
77	0.2938248678
78	0.2919018433
79	0.2892957106
80	0.28674724
81	0.284287569
82	0.2818529498
83	0.2799959966
84	0.2778579685
85	0.2763715035
86	0.273889751
87	0.2715196027
88	0.2695306607
89	0.2674255563
90	0.2659026739
91	0.2638075448
92	0.2620484859
93	0.260540689
94	0.2587840324
95	0.2565368607
96	0.2548345149
97	0.2532598651
98	0.2515323707
99	0.2500027151
100	0.248783869
101	0.2472424093
102	0.2453765641
103	0.2442394729
104	0.2423596366
105	0.2407164887
106	0.2393898562
107	0.2374712104
108	0.235969544
109	0.2350040067
110	0.2336322287
111	0.2319880931
112	0.2304530514
113	0.2294605987
114	0.2281229783
115	0.226745897
116	0.2253692293
117	0.2238357845
118	0.222484169
119	0.2212534153
120	0.2203476478
121	0.2192411058
122	0.2179048459
123	0.2171407345
124	0.2161207938
125	0.2150319655
126	0.214003016
127	0.2129440298
128	0.2118444561
129	0.2111222393
130	0.2103184159
131	0.2090199191
132	0.208305431
133	0.2075910645
134	0.2065075616
135	0.2052915205
136	0.2041122239
137	0.2031505441
138	0.2023119951
139	0.2013944317
140	0.2006621116
141	0.1998204104
142	0.1989487029
143	0.1980069743
144	0.1973580323
145	0.1964600011
146	0.1957808038
147	0.1947477443
148	0.1938678086
149	0.1931289777
150	0.1924289322
151	0.1916060341
152	0.1907443637
153	0.1899671631
154	0.1889792426
155	0.1881080741
156	0.1871400617
157	0.1864941371
158	0.1855515728
159	0.1847834331
160	0.1835382291
161	0.182677932
162	0.181877401
163	0.1811297979
164	0.1802073426
165	0.1794127945
166	0.178639545
167	0.1779915555
168	0.1773663915
169	0.1765833166
170	0.1759396859
171	0.1754190004
172	0.174527456
173	0.1738544027
174	0.173134869
175	0.1723953989
176	0.1716628619
177	0.1711145892
178	0.1705739547
179	0.1699342238
180	0.1692499149
181	0.1685740364
182	0.1681100811
183	0.1675015561
184	0.166832079
185	0.166061173
186	0.1654616452
187	0.165023116
188	0.1641862014
189	0.1635012919
190	0.1628173435
191	0.1623688001
192	0.1617620871
193	0.1611641554
194	0.1607023438
195	0.1602516008
196	0.159831427
197	0.1593020307
198	0.1588617757
199	0.1584709519
200	0.1576680773
201	0.1570537899
202	0.1565833608
203	0.1561088736
204	0.1557426742
205	0.1552374969
206	0.1548227623
207	0.154408488
208	0.1540403889
209	0.1535484321
210	0.1529761103
211	0.152369186
212	0.1518550982
213	0.1513344071
214	0.1509053255
215	0.1502876024
216	0.1498627162
217	0.1493360531
218	0.1487207279
219	0.1481930563
220	0.1477439852
221	0.1473851692
222	0.1468593811
223	0.1466364775
224	0.1462340088
225	0.1456860258
226	0.1450961082
227	0.1446759719
228	0.144228122
229	0.1436863259
230	0.1433356868
231	0.1429533222
232	0.1426946804
233	0.1423227767
234	0.1418907432
235	0.1414090494
236	0.1412160146
237	0.1407512721
238	0.1403648467
239	0.1399425045
240	0.1395695278
241	0.1389217057
242	0.1384554611
243	0.1380134971
244	0.1376816278
245	0.1372716789
246	0.1367331867
247	0.1363860426
248	0.1361059964
249	0.135837157
250	0.1354905546
251	0.1349548012
252	0.1345747145
253	0.1342371411
254	0.1338012405
255	0.1335003773
256	0.1332299459
257	0.1327897934
258	0.1325651061
259	0.1322724177
260	0.1319984238
261	0.131550871
262	0.1310703883
263	0.1308372395
264	0.1306092131
265	0.1303508673
266	0.1300521516
267	0.1296463029
268	0.1293217856
269	0.1289326413
270	0.128602455
271	0.1283438616
272	0.1279958288
273	0.127805224
274	0.1276320614
275	0.1272123448
276	0.1268787109
277	0.1265178385
278	0.1262423186
279	0.1258664879
280	0.1256580191
281	0.1253162902
282	0.1249431442
283	0.124655649
284	0.1243918093
285	0.1239437692
286	0.1237384404
287	0.1234008636
288	0.1231640505
289	0.122845015
290	0.1226142893
291	0.1222366802
292	0.1218016369
293	0.1215070006
294	0.1212127171
295	0.1210263802
296	0.1207707272
297	0.1206093455
298	0.1203300678
299	0.1200859118
300	0.1198225886
301	0.1195056943
302	0.1193229055
303	0.1191083865
304	0.1188059567
305	0.1185484856
306	0.1183074557
307	0.1181372384
308	0.1178114683
309	0.1175909779
310	0.1173436481
311	0.1170668137
312	0.1168617459
313	0.1165804273
314	0.1163570357
315	0.1160700969
316	0.1157325583
317	0.1153477486
318	0.115097059
319	0.114750256
320	0.1145730179
321	0.1143563394
322	0.1141771537
323	0.1139406769
324	0.1137390286
325	0.1135294326
326	0.1133705288
327	0.1132434208
328	0.1130648071
329	0.1128863727
330	0.1127160309
331	0.1124305943
332	0.1121618317
333	0.1119280917
334	0.1116803836
335	0.1114744694
336	0.1112057076
337	0.1110567638
338	0.110856849
339	0.1106473982
340	0.1104410343
341	0.1102846378
342	0.1100433566
343	0.1098015625
344	0.1096038832
345	0.1094868571
346	0.1092480583
347	0.1090949388
348	0.1089330445
349	0.1086643797
350	0.1082950643
351	0.1080951334
352	0.1079589599
353	0.1076843951
354	0.1075458343
355	0.1073591597
356	0.1070636826
357	0.1069094456
358	0.1067599292
359	0.1065920199
360	0.1064268264
361	0.1062686436
362	0.1059973472
363	0.1058498543
364	0.1056690867
365	0.1055261304
366	0.1052736176
367	0.1051571806
368	0.1050116386
369	0.1047018526
370	0.1044945752
371	0.1043172508
372	0.1041049093
373	0.1038185169
374	0.1036603063
375	0.1034945978
376	0.1032833288
377	0.1030363255
378	0.1027701361
379	0.1025109357
380	0.1024086636
381	0.1021703986
382	0.101860201
383	0.1016483841
384	0.1015281707
385	0.1012969206
386	0.1010943534
387	0.1009622795
